"New York City, USA",Spring,January,"Percentage Off (e.g., 20% off)",Percentage Discount,Standard Shipping,New Year's Day (Global),AliceBlue
"Los Angeles, USA",Summer,February,"Dollar Amount Off (e.g., $10 off)",Dollar Amount Discount,Expedited Shipping,Christmas (Global),AntiqueWhite
"Chicago, USA",Autumn (Fall),March,Buy One Get One Free (BOGO),Buy One Get One (BOGO),Overnight Shipping,Easter (Global),Aqua
"Houston, USA",Winter,April,"Buy More Save More (e.g., buy 2 get 1 free)",Bulk Purchase Discounts,Same-Day Delivery,Ramadan and Eid al-Fitr (Islamic World),Aquamarine
"Phoenix, USA",Monsoon (Rainy Season),May,Flash Sales,Limited-Time Offers,Two-Day Shipping,Diwali (India and Hindu Communities Worldwide),Azure
"Philadelphia, USA",Pre-monsoon (Hot Season) ,June,"Seasonal Sales (e.g., Black Friday, Christmas sales)",Percentage Discount,In-Store Pickup,Chinese New Year (China and Chinese Communities Worldwide),Beige
"San Antonio, USA",Post-monsoon (Retreating Monsoon) ,July,Clearance Sales,Dollar Amount Discount,Freight Shipping,Hanukkah (Jewish Communities Worldwide),Bisque
"San Diego, USA",Dry Season,August,Digital Coupons,Buy One Get One (BOGO),Flat-Rate Shipping,Holi (India and Nepal),Black
"Dallas, USA",Wet Season,September,Paper Coupons,Bulk Purchase Discounts,Standard Shipping,Thanksgiving (USA and Canada),BlanchedAlmond
"San Jose, USA",Early Winter,October,Mobile Coupons,Limited-Time Offers,Expedited Shipping,"Halloween (Global, especially USA and UK)",Blue
"Austin, USA",Deep Winter,November,Discount Codes,Percentage Discount,Overnight Shipping,Oktoberfest (Germany and Worldwide),BlueViolet
"Jacksonville, USA",Late Winter ,December,Gift Vouchers,Dollar Amount Discount,Same-Day Delivery,"Carnival (Brazil, Trinidad and Tobago, Venice, New Orleans)",Brown
"Fort Worth, USA",Early Spring,January,Cashback Offers,Buy One Get One (BOGO),Two-Day Shipping,St. Patrick's Day (Ireland and Irish Communities Worldwide),BurlyWood
"Columbus, USA",Late Spring,February,Points Programs (earn points for purchases),Bulk Purchase Discounts,In-Store Pickup,"Mardi Gras (New Orleans, USA, and Other Places)",CadetBlue
"Charlotte, USA",Early Summer,March,Membership Discounts,Limited-Time Offers,Freight Shipping,Songkran (Thailand),Chartreuse
"San Francisco, USA",Late Summer,April,Exclusive Member Sales,Percentage Discount,Flat-Rate Shipping,Día de los Muertos (Mexico),Chocolate
"Indianapolis, USA",Early Autumn,May,"Rewards Programs (e.g., frequent flyer miles)",Dollar Amount Discount,Standard Shipping,Rosh Hashanah (Jewish Communities Worldwide),Coral
"Seattle, USA",Late Autumn,June,VIP Programs,Buy One Get One (BOGO),Expedited Shipping,Yom Kippur (Jewish Communities Worldwide),CornflowerBlue
"Denver, USA",Spring,July,"Product Bundles (e.g., buy a laptop, get a mouse free)",Bulk Purchase Discounts,Overnight Shipping,Bastille Day (France),Cornsilk
"Washington, D.C., USA",Summer,August,"Service Packages (e.g., phone plans with free data)",Limited-Time Offers,Same-Day Delivery,"Boxing Day (UK, Canada, Australia)",Crimson
"Boston, USA",Autumn (Fall),September,"Subscription Discounts (e.g., sign up for 12 months, get 1 month free)",Percentage Discount,Two-Day Shipping,Cinco de Mayo (Mexico and Mexican Communities Worldwide),Cyan
"El Paso, USA",Winter,October,Refer a Friend Discounts,Dollar Amount Discount,In-Store Pickup,"Independence Day (USA, July 4)",DarkBlue
"Nashville, USA",Monsoon (Rainy Season),November,Referral Rewards,Buy One Get One (BOGO),Freight Shipping,Bonfire Night (UK),DarkCyan
"Detroit, USA",Pre-monsoon (Hot Season) ,December,Affiliate Programs,Bulk Purchase Discounts,Flat-Rate Shipping,Kwanzaa (USA),DarkGoldenRod
"Oklahoma City, USA",Post-monsoon (Retreating Monsoon) ,January,"Percentage Off (e.g., 20% off)",Limited-Time Offers,Standard Shipping,Vesak (Buddhist Communities),DarkGray
"Portland, USA",Dry Season,February,"Dollar Amount Off (e.g., $10 off)",Percentage Discount,Expedited Shipping,Lantern Festival (China),DarkGreen
"Las Vegas, USA",Wet Season,March,Buy One Get One Free (BOGO),Dollar Amount Discount,Overnight Shipping,Midsummer (Sweden and Nordic Countries),DarkKhaki
"Memphis, USA",Early Winter,April,"Buy More Save More (e.g., buy 2 get 1 free)",Buy One Get One (BOGO),Same-Day Delivery,"Pongal (Tamil Nadu, India)",DarkMagenta
"Louisville, USA",Deep Winter,May,Flash Sales,Bulk Purchase Discounts,Two-Day Shipping,"Hari Raya Puasa (Eid al-Fitr) (Malaysia, Indonesia)",DarkOliveGreen
"Baltimore, USA",Late Winter ,June,"Seasonal Sales (e.g., Black Friday, Christmas sales)",Limited-Time Offers,In-Store Pickup,Navratri (India),DarkOrange
"Milwaukee, USA",Early Spring,July,Clearance Sales,Percentage Discount,Freight Shipping,Passover (Jewish Communities Worldwide),DarkOrchid
"Albuquerque, USA",Late Spring,August,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkRed
"Tucson, USA",Early Summer,September,Paper Coupons,Buy One Get One (BOGO),Standard Shipping,T?t (Vietnam),DarkSalmon
"Fresno, USA",Late Summer,October,Mobile Coupons,Bulk Purchase Discounts,Expedited Shipping,"Nowruz (Persian New Year, Iran)",DarkSeaGreen
"Sacramento, USA",Early Autumn,November,Discount Codes,Limited-Time Offers,Overnight Shipping,Carnival of Venice (Italy),DarkSlateBlue
"Kansas City, USA",Late Autumn,December,Gift Vouchers,Percentage Discount,Same-Day Delivery,"San Fermín (Running of the Bulls, Spain)",DarkSlateGray
"Mesa, USA",Spring,January,Cashback Offers,Dollar Amount Discount,Two-Day Shipping,Glastonbury Festival (UK),DarkTurquoise
"Atlanta, USA",Summer,February,Points Programs (earn points for purchases),Buy One Get One (BOGO),In-Store Pickup,Notting Hill Carnival (UK),DarkViolet
"Omaha, USA",Autumn (Fall),March,Membership Discounts,Bulk Purchase Discounts,Freight Shipping,Rio Carnival (Brazil),DeepPink
"Colorado Springs, USA",Winter,April,Exclusive Member Sales,Limited-Time Offers,Flat-Rate Shipping,Burning Man (USA),DeepSkyBlue
"Raleigh, USA",Monsoon (Rainy Season),May,"Rewards Programs (e.g., frequent flyer miles)",Percentage Discount,Standard Shipping,Coachella (USA),DimGray
"Miami, USA",Pre-monsoon (Hot Season) ,June,VIP Programs,Dollar Amount Discount,Expedited Shipping,Day of Ashura (Islamic World),DodgerBlue
"Long Beach, USA",Post-monsoon (Retreating Monsoon) ,July,"Product Bundles (e.g., buy a laptop, get a mouse free)",Buy One Get One (BOGO),Overnight Shipping,Janmashtami (India),FireBrick
"Virginia Beach, USA",Dry Season,August,"Service Packages (e.g., phone plans with free data)",Bulk Purchase Discounts,Same-Day Delivery,Ganesh Chaturthi (India),FloralWhite
"Oakland, USA",Wet Season,September,"Subscription Discounts (e.g., sign up for 12 months, get 1 month free)",Limited-Time Offers,Two-Day Shipping,Durga Puja (India),ForestGreen
"Minneapolis, USA",Early Winter,October,Refer a Friend Discounts,Percentage Discount,In-Store Pickup,Dussehra (India),Fuchsia
"Tulsa, USA",Deep Winter,November,Referral Rewards,Dollar Amount Discount,Freight Shipping,"Onam (Kerala, India)",Gainsboro
"Tampa, USA",Late Winter ,December,Affiliate Programs,Buy One Get One (BOGO),Flat-Rate Shipping,Thanksgiving (Canada),GhostWhite
"Arlington, USA",Early Spring,January,"Percentage Off (e.g., 20% off)",Bulk Purchase Discounts,Standard Shipping,Canada Day (Canada),Gold
"New Orleans, USA",Late Spring,February,"Dollar Amount Off (e.g., $10 off)",Limited-Time Offers,Expedited Shipping,Australia Day (Australia),GoldenRod
"Tokyo, Japan",Early Summer,March,Buy One Get One Free (BOGO),Percentage Discount,Overnight Shipping,Hajj (Saudi Arabia),Gray
"Delhi, India",Late Summer,April,"Buy More Save More (e.g., buy 2 get 1 free)",Dollar Amount Discount,Same-Day Delivery,Christmas Markets (Germany and Europe),Green
"Shanghai, China",Early Autumn,May,Flash Sales,Buy One Get One (BOGO),Two-Day Shipping,Hogmanay (Scotland),GreenYellow
"São Paulo, Brazil",Late Autumn,June,"Seasonal Sales (e.g., Black Friday, Christmas sales)",Bulk Purchase Discounts,In-Store Pickup,Hanami (Japan),HoneyDew
"Mumbai, India",Spring,July,Clearance Sales,Limited-Time Offers,Freight Shipping,Edinburgh Festival Fringe (Scotland),HotPink
"Beijing, China",Summer,August,Digital Coupons,Percentage Discount,Flat-Rate Shipping,La Tomatina (Spain),IndianRed
"Cairo, Egypt",Autumn (Fall),September,Paper Coupons,Dollar Amount Discount,Standard Shipping,Oktoberfest (Germany),Indigo
"Dhaka, Bangladesh",Winter,October,Mobile Coupons,Buy One Get One (BOGO),Expedited Shipping,"Independence Day (India, August 15)",Ivory
"Mexico City, Mexico",Monsoon (Rainy Season),November,Discount Codes,Bulk Purchase Discounts,Overnight Shipping,Bastille Day (France),Khaki
"Osaka, Japan",Pre-monsoon (Hot Season) ,December,Gift Vouchers,Limited-Time Offers,Same-Day Delivery,Guy Fawkes Night (UK),Lavender
"Karachi, Pakistan",Post-monsoon (Retreating Monsoon) ,January,Cashback Offers,Percentage Discount,Two-Day Shipping,Anzac Day (Australia and New Zealand),LavenderBlush
"Chongqing, China",Dry Season,February,Points Programs (earn points for purchases),Dollar Amount Discount,In-Store Pickup,Holi (India),LawnGreen
"Istanbul, Turkey",Wet Season,March,Membership Discounts,Buy One Get One (BOGO),Freight Shipping,Easter (Global),LemonChiffon
"Buenos Aires, Argentina",Early Winter,April,Exclusive Member Sales,Bulk Purchase Discounts,Flat-Rate Shipping,Day of the Dead (Mexico),LightBlue
"Kolkata, India",Deep Winter,May,"Rewards Programs (e.g., frequent flyer miles)",Limited-Time Offers,Standard Shipping,Diwali (India),LightCoral
"Lagos, Nigeria",Late Winter ,June,VIP Programs,Percentage Discount,Expedited Shipping,Ramadan (Islamic World),LightCyan
"Kinshasa, DR Congo",Early Spring,July,"Product Bundles (e.g., buy a laptop, get a mouse free)",Dollar Amount Discount,Overnight Shipping,Eid al-Adha (Islamic World),LightGoldenRodYellow
"Manila, Philippines",Late Spring,August,"Service Packages (e.g., phone plans with free data)",Buy One Get One (BOGO),Same-Day Delivery,Thai New Year (Songkran) (Thailand),LightGray
"Rio de Janeiro, Brazil",Early Summer,September,"Subscription Discounts (e.g., sign up for 12 months, get 1 month free)",Bulk Purchase Discounts,Two-Day Shipping,Chinese Lantern Festival (China),LightGreen
"Guangzhou, China",Late Summer,October,Refer a Friend Discounts,Limited-Time Offers,In-Store Pickup,Spring Festival (China),LightPink
"Lahore, Pakistan",Early Autumn,November,Referral Rewards,Percentage Discount,Freight Shipping,Buddha's Birthday (Buddhist Communities),LightSalmon
"Shenzhen, China",Late Autumn,December,Affiliate Programs,Dollar Amount Discount,Flat-Rate Shipping,Raksha Bandhan (India),LightSeaGreen
"Bangalore, India",Spring,January,"Percentage Off (e.g., 20% off)",Buy One Get One (BOGO),Standard Shipping,Lantern Festival (China),LightSkyBlue
"Paris, France",Summer,February,"Dollar Amount Off (e.g., $10 off)",Bulk Purchase Discounts,Expedited Shipping,Earth Day (Global),LightSlateGray
"London, UK",Autumn (Fall),March,Buy One Get One Free (BOGO),Limited-Time Offers,Overnight Shipping,Labor Day (Global),LightSteelBlue
"Lima, Peru",Winter,April,"Buy More Save More (e.g., buy 2 get 1 free)",Percentage Discount,Same-Day Delivery,Saint George's Day (England),LightYellow
"Bangkok, Thailand",Monsoon (Rainy Season),May,Flash Sales,Dollar Amount Discount,Two-Day Shipping,Remembrance Day (UK and Commonwealth),Lime
"Seoul, South Korea",Pre-monsoon (Hot Season) ,June,"Seasonal Sales (e.g., Black Friday, Christmas sales)",Buy One Get One (BOGO),In-Store Pickup,Veterans Day (USA),LimeGreen
"Chengdu, China",Post-monsoon (Retreating Monsoon) ,July,Clearance Sales,Bulk Purchase Discounts,Freight Shipping,Chuseok (South Korea),Linen
"Nanjing, China",Dry Season,August,Digital Coupons,Limited-Time Offers,Flat-Rate Shipping,Hanami (Japan),Magenta
"Wuhan, China",Wet Season,September,Paper Coupons,Percentage Discount,Standard Shipping,Gion Matsuri (Japan),Maroon
"Ho Chi Minh City, Vietnam",Early Winter,October,Mobile Coupons,Dollar Amount Discount,Expedited Shipping,Obon (Japan),MediumAquaMarine
"Luanda, Angola",Deep Winter,November,Discount Codes,Buy One Get One (BOGO),Overnight Shipping,Sapporo Snow Festival (Japan),MediumBlue
"Hyderabad, India",Late Winter ,December,Gift Vouchers,Bulk Purchase Discounts,Same-Day Delivery,Seollal (Korean New Year) (South Korea),MediumOrchid
"Ahmadabad, India",Early Spring,January,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),MediumPurple
"Kuala Lumpur, Malaysia",Late Spring,February,Points Programs (earn points for purchases),Percentage Discount,In-Store Pickup,Carnaval de Barranquilla (Colombia),MediumSeaGreen
"Hong Kong, China",Early Summer,March,Membership Discounts,Dollar Amount Discount,Freight Shipping,Feria de Abril (Spain),MediumSlateBlue
"Nairobi, Kenya",Late Summer,April,Exclusive Member Sales,Buy One Get One (BOGO),Flat-Rate Shipping,Harbin Ice Festival (China),MediumSpringGreen
"Baghdad, Iraq",Early Autumn,May,"Rewards Programs (e.g., frequent flyer miles)",Bulk Purchase Discounts,Standard Shipping,Winterlude (Canada),MediumTurquoise
"Toronto, Canada",Late Autumn,June,VIP Programs,Limited-Time Offers,Expedited Shipping,Mawlid al-Nabi (Islamic World),MediumVioletRed
"Santiago, Chile",Spring,July,"Product Bundles (e.g., buy a laptop, get a mouse free)",Percentage Discount,Overnight Shipping,Diwali (India),MidnightBlue
"Riyadh, Saudi Arabia",Summer,August,"Service Packages (e.g., phone plans with free data)",Dollar Amount Discount,Same-Day Delivery,Vaisakhi (Sikh Communities),MintCream
"Singapore, Singapore",Autumn (Fall),September,"Subscription Discounts (e.g., sign up for 12 months, get 1 month free)",Buy One Get One (BOGO),Two-Day Shipping,Melbourne Cup (Australia),MistyRose
"Madrid, Spain",Winter,October,Refer a Friend Discounts,Bulk Purchase Discounts,In-Store Pickup,Sundance Film Festival (USA),Moccasin
"Dubai, UAE",Monsoon (Rainy Season),November,Referral Rewards,Limited-Time Offers,Freight Shipping,Berlin International Film Festival (Germany),NavajoWhite
"Los Angeles, USA",Pre-monsoon (Hot Season) ,December,Affiliate Programs,Percentage Discount,Flat-Rate Shipping,Venice Film Festival (Italy),Navy
"Bangalore, India",Post-monsoon (Retreating Monsoon) ,January,"Percentage Off (e.g., 20% off)",Dollar Amount Discount,Standard Shipping,Cannes Film Festival (France),OldLace
"Jakarta, Indonesia",Dry Season,February,"Dollar Amount Off (e.g., $10 off)",Buy One Get One (BOGO),Expedited Shipping,Holi Festival (India),Olive
"Berlin, Germany",Wet Season,March,Buy One Get One Free (BOGO),Bulk Purchase Discounts,Overnight Shipping,Jamhuri Day (Kenya),OliveDrab
"Rome, Italy",Early Winter,April,"Buy More Save More (e.g., buy 2 get 1 free)",Limited-Time Offers,Same-Day Delivery,Independence Day (Nigeria),Orange
